"","call_detail","call_group","call_source","civil_age","civil_age_f","civil_drug","civil_etoh","civil_id","civil_instance","civil_mental","civil_race","civil_sex","civil_transient","force1","force2","force3","force4","force5","force6","force7","force8","force1_any","force2_any","force3_any","force4_any","force5_any","force6_any","force7_any","force8_any","force_officer_sum","incid_force_lev","incid_force_calc","incid_day","incid_disp","incid_id","incid_month","incid_sixhour","incid_year","officer_id","officer_precinct","officer_precinct_collapsed","officer_tenure","officer_tenure_f","resist1","resist2","resist3","resist4","resist5","resist6","resist7","resist8","threat_biohaz","threat_blunt","threat_gun","threat_gun_implied","threat_gun_replica","threat_knife","threat_other","threat_unused_weapon","threat_unarmed","threat_sum","recordcount_1","recordcount_2"
"3752","DISTURBANCE - PRIORITY","Disturbance","Dispatched",54,"50-64","1","1",139780,879679276,"0","Black","Male","Yes","Control Against Resistance","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"II","3","Wednesday","Release to Medical",879539496,"November","1800-2359",2019,905631,"Central Precinct","Central Precinct",8,"(5-10]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3753","TRAFFIC STOP","Traffic Stop","Self-Initiated",54,"50-64","0","1",221177,593770140,"0","Black","Female","No","PIT - VIS","PIT - VIS","PIT - VIS",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"III","2","Sunday","Arrest-Cited",593548963,"November","0000-0559",2020,949741,"North Precinct","North Precinct",8,"(5-10]","Aggressive","Aggressive","Aggressive",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3754","PERSON CONTACT (86)","Subject Stop","Dispatched",54,"50-64","0","0",3892080,508439252,"0","White","Female","Yes","Takedown (II and III)",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Thursday","Arrest-Misdemeanor",504547172,"May","0600-1159",2020,501691,"Central Precinct","Central Precinct",8,"(5-10]","Aggressive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3755","HAZARD - HAZARDOUS CONDITION","Hazard","Dispatched",58,"50-64","1","1",147367,765695192,"0","Black","Male","No","Resisted HC","Takedown (II and III)",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Tuesday","Arrest-Misdemeanor",765547825,"July","1200-1759",2020,801721,"East Precinct","East Precinct",8,"(5-10]","Active","Aggressive",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3756","DISTURBANCE - WITH WEAPON *H","Disturbance","Dispatched",58,"50-64","0","0",320213,691869567,"0","Black","Male","Yes","PIT - VIS",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Saturday","Arrest-Misdemeanor",691549354,"December","1200-1759",2020,949741,"North Precinct","North Precinct",8,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"3757","ASSIST - CITIZEN OR AGENCY","Assist","Dispatched",59,"50-64","1","0",148164,662697038,"1","Black","Male","No","Resisted HC","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Thursday","Release to Medical",662548874,"October","1200-1759",2020,490691,NA,NA,8,"(5-10]","Active","Active",NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,1,1
"3758","ACCIDENT - INJURY","Collision","Dispatched",75,"65+","0","1",287417,559824960,"0","White","Male","No","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Wednesday","Arrest-Felony",559537543,"June","1200-1759",2019,915631,"East Precinct","East Precinct",8,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3759","TRAFFIC STOP","Traffic Stop","Self-Initiated",NA,NA,"0","0",132885,441690757,"0","White","Male","No","PIT - VIS",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Sunday","Escaped",441557872,"August","1800-2359",2021,949741,"North Precinct","North Precinct",8,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3760","DISTURBANCE - PRIORITY","Disturbance","Dispatched",NA,NA,"1","0",124057,135660336,"0","White","Male",NA,"Resisted HC","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Saturday","Release to Medical",135536279,"February","0000-0559",2019,859631,"Central Precinct","Central Precinct",8,"(5-10]","Aggressive","Aggressive",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3761","ANIMAL PROBLEM","Animal Problem","Dispatched",NA,NA,"0","0",124924,480671216,"0",NA,NA,NA,"FD - animal suf.","FD - animal suf.","FD - animal suf.","FD - animal suf.","FD - animal suf.",NA,NA,NA,1,1,1,1,1,0,0,0,5,"IV","1","Saturday",NA,480546292,"February","0600-1159",2020,439691,"East Precinct","East Precinct",8,"(5-10]",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3762","VEHICLE RECOVERED","Stolen Vehicle","Self-Initiated",30.825009513,"25-34","0","0",620992,62099236525778,"0","White","Male","Yes","PFA",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Wednesday","Arrest-Felony",36525778,"January","0000-0559",2018,172561,"East Precinct","East Precinct",8.014050609,"(5-10]","Passive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"3763","DISTURBANCE - PRIORITY","Disturbance","Dispatched",29.023622527,"25-34","1","0",481578,481578598526503,"0","White","Male","No","Control Against Resistance","Takedown (II and III)","Control Against Resistance",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"III","2","Monday","Arrest-Felony",598526503,"March","1200-1759",2018,276671,"Central Precinct","Central Precinct",8.029101979,"(5-10]","Active","Active","Active",NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,1,1,1
"3764","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE","Suspicious","Self-Initiated",28.49516933,"25-34","0","0",3456353,3456353846518526,"0","White","Male","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Wednesday","Arrest-Felony",846518526,"August",NA,2017,855830,"Central Precinct","Central Precinct",8.034895358,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3765","DISTURBANCE - PRIORITY","Disturbance","Dispatched",35.845123668,"35-49","0","1",288773,288773743518535,"0","Black","Female","No","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Thursday","Arrest-Misdemeanor",743518535,"August",NA,2017,855830,"Central Precinct","Central Precinct",8.03690449,"(5-10]","Aggressive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3766","ARSON - PRIORITY","Arson","Dispatched",34.640865677,"35-49","1","0",544040,544040149518569,"1","Hispanic","Female","No","Resisted HC","Takedown","Control Against Resistance",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"IV","1","Saturday","Cite and Release",149518569,"September",NA,2017,167159,"East Precinct","East Precinct",8.043605403,"(5-10]","Active","Active","Active",NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,1,1
"3767","FOOT PURSUIT *H","Escape/Pursuit","Self-Initiated",56.121476408,"50-64","0","0",526734,526734557526683,"0","White","Male","Yes","Takedown (II and III)",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Tuesday","Arrest-Warrant",557526683,"March","0600-1159",2018,276671,"Central Precinct","Central Precinct",8.069421613,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3768","PERSON CONTACT (86)","Subject Stop","Self-Initiated",18.8730879,"15-24","0","0",3834345,383434525518728,"0","White","Male","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Friday","Arrest-Misdemeanor",25518728,"September",NA,2017,855830,"Central Precinct","Central Precinct",8.078567352,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3769","ACCIDENT - INJURY","Collision","Dispatched",40.506813166,"35-49","1","0",263256,2632561010519817,"0","White","Male","No","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Friday","Arrest-Cited",1010519817,"December",NA,2017,1097551,"Traffic","Traffic",8.136950152,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3770","ROBBERY - WITH WEAPON *H","Robbery","Dispatched",33.580226408,"25-34","0","0",348666,348666869519886,"0","White","Male","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"II","3","Thursday","Arrest-Felony",869519886,"December",NA,2017,321971,"East Precinct","East Precinct",8.141870244,"(5-10]","Aggressive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,1,1,1
"3771","VEHICLE RECOVERED","Stolen Vehicle","Self-Initiated",25.709433029,"25-34","0","0",604754,604754525526413,"0","Black","Male","Yes","PIT - VIS",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Sunday","Arrest-Felony",525526413,"March","1800-2359",2018,172561,"East Precinct","East Precinct",8.161487823,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3772","WELFARE CHECK - PRIORITY","Welfare Check","Dispatched",47.988774734,"35-49","0","0",460216,460216805518425,"0","White","Female","Yes","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Tuesday","Arrest-Misdemeanor",805518425,"August",NA,2017,795521,"Central Precinct","Central Precinct",8.175076104,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3773","TRAFFIC STOP","Traffic Stop","Self-Initiated",38.172659817,"35-49","0","0",348660,124526829348660,"0","White","Male","Yes","PFA",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Sunday","Arrest-Felony",124526829,"April",NA,2018,1027551,"East Precinct","East Precinct",8.178139269,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3774","WELFARE CHECK - COLD","Welfare Check","Dispatched",34.091390791,"35-49","0","0",447596,447596282519010,"0","Hispanic","Male","Yes","Resisted HC","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Monday","Arrest-Felony",282519010,"October",NA,2017,819521,"North Precinct","North Precinct",8.18180175,"(5-10]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3775","ECIT","Behavioral Health","Dispatched",36.624157154,"35-49","0","0",1276555,5915268731276555,"1","White","Female",NA,"Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Wednesday","Release to Medical",591526873,"April","1800-2359",2018,1027551,"East Precinct","East Precinct",8.188540715,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3776","WELFARE CHECK - PRIORITY","Welfare Check","Dispatched",35.303780441,"35-49","1","0",615122,615122979519207,"0","Hispanic","Male","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Wednesday","Release to Medical",979519207,"October",NA,2017,855830,"Central Precinct","Central Precinct",8.188711948,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3777","WARRANT","Warrant","Dispatched",42.769602359,"35-49","0","0",572312,572312203525799,"0","White","Male","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Thursday","Arrest-Misdemeanor",203525799,"January","1800-2359",2018,321971,"East Precinct","East Precinct",8.199739346,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3778","UNDESCRIBED INCIDENT","Other","Self-Initiated",30.288717656,"25-34","0","0",485507,485507919519367,"0","Black","Male","No","CHWI","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Wednesday","Detained and Released",919519367,"November",NA,2017,855830,"Central Precinct","Central Precinct",8.225703957,"(5-10]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3779","SHOOTING - WITH WEAPON *H","Assault","Dispatched",NA,NA,"0","0",NA,NA,"0","Black","Male",NA,"PFA",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Wednesday",NA,568519203,"October",NA,2017,819521,"Youth Services","Other",8.22636796,"(5-10]",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1
"3780","ROBBERY - WITH WEAPON *H","Robbery","Dispatched",31.517203196,"25-34","0","0",459189,459189474525962,"0","Native American","Male","Yes","PFA",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Thursday","Arrest-Felony",474525962,"January","1800-2359",2018,321971,"East Precinct","East Precinct",8.237751142,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"3781","ECIT","Behavioral Health","Dispatched",45.292218417,"35-49","1","0",272950,801527805272950,"1","White","Male","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Monday","Release to Medical",801527805,"June","1200-1759",2018,278571,"North Precinct","North Precinct",8.240163623,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3782","SUSPICIOUS - PRIORITY","Suspicious","Dispatched",23.885730594,"15-24","1","0",387912,387912994526127,"0","Black","Male","Yes","Resisted HC","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Thursday","Arrest-Misdemeanor",994526127,"February","0600-1159",2018,125960,"Transit (PPB Only)","Transit",8.247374429,"(5-10]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3783","ECIT","Behavioral Health","Dispatched",36.153571157,"35-49","1","0",338234,338234668518904,"0","Black","Male","No","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"II","3","Saturday","Arrest-Felony",668518904,"September",NA,2017,776521,"Central Precinct","Central Precinct",8.279598554,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3784","DISTURBANCE - PRIORITY","Disturbance","Dispatched",38.895732496,"35-49","0","1",1733006,1605269591733006,"0","White","Male","No","Takedown (IV)","Control Against Resistance","Takedown (II and III)",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"III","2","Wednesday","Arrest-Misdemeanor",160526959,"April","1800-2359",2018,177561,"Other (please specify)","Other",8.284773592,"(5-10]","Active","Active","Active",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3785","VANDALISM - PRIORITY","Vandalism","Dispatched",30.275742009,"25-34","1","0",3862879,3862879520519483,"0","Black","Male","Yes","Resisted HC","Takedown","Resisted HC",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"IV","1","Saturday","Arrest-Felony",520519483,"November",NA,2017,940541,"Central Precinct","Central Precinct",8.292180365,"(5-10]","Active","Active","Active",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3786","WARRANT","Warrant","Self-Initiated",26.512454338,"25-34","0","0",431034,431034256518380,"0","White","Male","Yes","Takedown",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"II","3","Saturday","Arrest-Felony",256518380,"August",NA,2017,717511,"North Precinct","North Precinct",8.348070776,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"3787","WELFARE CHECK - PRIORITY","Welfare Check","Dispatched",35.303780441,"35-49","1","0",615122,615122979519207,"0","Hispanic","Male","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Wednesday","Release to Medical",979519207,"October",NA,2017,795521,"Central Precinct","Central Precinct",8.350355784,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3788","DISTURBANCE - PRIORITY","Disturbance","Dispatched",25.611510654,"25-34","0","1",1898016,1898016297525680,"0","White","Female","No","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Monday","Detained and Released",297525680,"January","0000-0559",2018,1112750,"North Precinct","North Precinct",8.37315449,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3789","VEHICLE STOLEN - PRIORITY","Stolen Vehicle","Dispatched",28.771982496,"25-34","0","0",456086,456086921526557,"0","Black","Male","No","Box-in VIS",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Friday","Arrest-Felony",921526557,"March","1800-2359",2018,321971,"East Precinct","East Precinct",8.374722222,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3790","THEFT - PRIORITY","Theft","Dispatched",31.193740487,"25-34","0","0",410740,41074070526568,"0","White","Male","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Saturday","Arrest-Felony",70526568,"March","1200-1759",2018,321971,"East Precinct","East Precinct",8.377302131,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3791","DISTURBANCE - WITH WEAPON *H","Disturbance","Dispatched",31.629712709,"25-34","0","1",3732577,3732577336526571,"0","White","Female","No","PFA",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Saturday","Detained and Released",336526571,"March","1800-2359",2018,321971,"East Precinct","East Precinct",8.377657915,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,1,1
"3792","FOLLOW-UP","Other","Dispatched",61.275409056,"50-64","0","0",3708093,195274183708093,"0","White","Male","Yes","PFA",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Friday","Arrest-Felony",19527418,"May","1200-1759",2018,172561,"East Precinct","East Precinct",8.384998097,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3793","DISTURBANCE - PRIORITY","Disturbance","Dispatched",23.939490107,"15-24","1","1",3959297,10065284773959296,"0","White","Female","No","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Friday","Release to Medical",1006528477,"August","1800-2359",2018,278571,"North Precinct","North Precinct",8.386065449,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3794","TRIMET INCIDENT - WITH WEAPON *H","TriMet","Dispatched",54.278786149,"50-64","0","0",390606,390606926518567,"0","Black","Male","Yes","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Saturday","Arrest-Misdemeanor",926518567,"September",NA,2017,744521,"Transit (PPB Only)","Transit",8.38837519,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"3795","PERSON CONTACT (86)","Subject Stop","Self-Initiated",31.955473744,"25-34","0","1",432189,432189768525855,"0","White","Male","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Tuesday","Arrest-Misdemeanor",768525855,"January","1200-1759",2018,855830,"Central Precinct","Central Precinct",8.415747717,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3796","WELFARE CHECK - PRIORITY","Welfare Check","Dispatched",43.9793379,"35-49","1","0",610894,610894168518749,"0","White","Male","Yes","Takedown","Hobble",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Sunday","Release to Medical",168518749,"September",NA,2017,698511,"East Precinct","East Precinct",8.428652968,"(5-10]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3797","ACCIDENT - NON INJURY","Collision","Dispatched",24.745576484,"25-34","0","1",495716,495716755519465,"0","White","Male","No","Control Against Resistance","Resisted HC",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Friday","Arrest-Felony",755519465,"November",NA,2017,860631,"North Precinct","North Precinct",8.441466895,"(5-10]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3798","TRAFFIC STOP","Traffic Stop","Self-Initiated",27.331133942,"25-34","0","0",601451,601451721519195,"0","Hispanic","Male","No","Takedown","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Tuesday","Arrest-Felony",721519195,"October",NA,2017,777521,"Central Precinct","Central Precinct",8.443462709,"(5-10]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3799","DISTURBANCE - PRIORITY","Disturbance","Dispatched",40.520605023,"35-49","1","0",1856735,1856735156519209,"0","Black","Male","Yes","Control Against Resistance","Resisted HC",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Thursday","Arrest-Felony",156519209,"October",NA,2017,774521,"East Precinct","East Precinct",8.44663242,"(5-10]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3800","SHOTS FIRED","Shots Fired","Self-Initiated",23.504318874,"15-24","0","0",435380,435380477518302,"0","White","Female","No","PFA",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,NA,NA,"Sunday","Detained and Released",477518302,"August",NA,2017,649511,"East Precinct","East Precinct",8.446784627,"(5-10]","Passive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"3801","SHOTS FIRED","Shots Fired","Self-Initiated",27.591990107,"25-34","0","0",466101,466101477518302,"0","Black","Male","No","PFA",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,NA,NA,"Sunday","Arrest-Felony",477518302,"August",NA,2017,649511,"East Precinct","East Precinct",8.446784627,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"3802","SUSPICIOUS - PRIORITY","Suspicious","Dispatched",28.005616438,"25-34","1","0",4612275,4612275647519534,"0","White","Female","Yes","Takedown",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Thursday","Arrest-Felony",647519534,"November",NA,2017,860631,"North Precinct","North Precinct",8.457671233,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3803","DISTURBANCE - PRIORITY","Disturbance","Dispatched",21.763957382,"15-24","0","1",631153,771528815631153,"0","Black","Female","Yes","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Thursday","Arrest-Misdemeanor",771528815,"September","1800-2359",2018,351581,"North Precinct","North Precinct",8.459847793,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3804","DISTURBANCE - PRIORITY","Disturbance","Dispatched",26.903671994,"25-34","0","1",509096,509096468518412,"0","Hispanic","Male","No","CEW",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Monday","Arrest-Cited",468518412,"August",NA,2017,280471,"North Precinct","North Precinct",8.470795282,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3805","WELFARE CHECK - PRIORITY","Welfare Check","Dispatched",NA,NA,"0","1",1870106,1870106530518453,"1","White","Male","Yes","Takedown","Resisted HC",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Thursday","Arrest-Misdemeanor",530518453,"August",NA,2017,622501,"North Precinct","North Precinct",8.479280822,"(5-10]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3806","TRAFFIC STOP","Traffic Stop","Self-Initiated",29.888441781,"25-34","1","0",171394,171394840519376,"0","Asian","Female","Yes","PFA",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Thursday","Arrest-Felony",840519376,"November",NA,2017,774521,"East Precinct","East Precinct",8.485702055,"(5-10]","Passive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3807","TRAFFIC STOP","Traffic Stop","Self-Initiated",45.384332192,"35-49","0","0",566865,566865840519376,"0","White","Male","Yes","PFA",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Thursday","Arrest-Felony",840519376,"November",NA,2017,774521,"East Precinct","East Precinct",8.485702055,"(5-10]","Passive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3808","TRIMET INCIDENT - PRIORITY","TriMet","Dispatched",37.563673896,"35-49","0","0",229795,764527055229795,"1","Black","Male","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Thursday","Arrest-Misdemeanor",764527055,"April","1200-1759",2018,321971,"East Precinct","East Precinct",8.486961568,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3809","ECIT","Behavioral Health","Self-Initiated",20.272526636,"15-24","0","0",3723715,3723715959519857,"0","White","Female","Yes","PFA","Aerosol rest.","Aerosol rest.",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"II","3","Tuesday","Arrest-Felony",959519857,"December",NA,2017,861531,"Central Precinct","Central Precinct",8.499923896,"(5-10]","Aggressive","Aggressive","Aggressive",NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,1,1,1
"3810","PERSON CONTACT (86)","Subject Stop","Self-Initiated",39.205513699,"35-49","0","0",149612,149612737526475,"0","White","Male","No","Control Against Resistance","Resisted HC",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Saturday","Arrest-Warrant",737526475,"March",NA,2018,944541,"North Precinct","North Precinct",8.504143836,"(5-10]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3811","WELFARE CHECK - PRIORITY","Welfare Check","Dispatched",29.136946347,"25-34","1","0",481365,481365619518594,"0","White","Male","Yes","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Monday","Arrest-Felony",619518594,"September",NA,2017,552501,"East Precinct","East Precinct",8.509549087,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
