Blunt Object,Category of Force Event - Measured at Event Level,Disposition/Custody,DOW,Firearm,Firearm - Implied,Firearm - Replica,Force Applied - 1,Force Applied - 2,Force Applied - 3,Force Applied - 4,Force Applied - 5,Force Applied - 6,Force Applied - 7,Force Applied - 8,Hour (6Hr),Initial Call Category,Initial Call type,Knife / Edged Weapon / Stabbing Instrument,"Mental Health Crisis - Prior to Force, Perceived Lack of Compliance",Month,Needle / Spit / Bodily Fluids,No weapon (unarmed),Officer,Officer Precinct,Officer Tenure,Other Weapon,Record ID,Subject,Subject - Race,Subject - Sex,Subject - Transient,Subject Age,Subject Instance,Subject Resistance - 1,Subject Resistance - 2,Subject Resistance - 3,Subject Resistance - 4,Subject Resistance - 5,Subject Resistance - 6,Subject Resistance - 7,Subject Resistance - 8,Type of Call,"Under the Influence of Alcohol - Prior to Force, Perceived Condition","Under the Influence of Drugs - Prior to Force, Perceived Condition",Weapon Present or reported but not used or threatened use,Year,Record Count,Record Count
,IV,Release to Medical,Monday,,,,Resisted HC,,,,,,,,1200-1759,Unwanted Person,UNWANTED PERSON,,Yes,October,,No weapon (unarmed),243671,Central Precinct,9,,274548910,4166727,White,Female,Yes,39,278715637,Active,,,,,,,,Dispatched,,,,2020,1,1
,IV,Release to Medical,Monday,,,,Resisted HC,,,,,,,,1200-1759,Welfare Check,WELFARE CHECK - PRIORITY,,,August,,No weapon (unarmed),438291,Central Precinct,3,,642558024,395470,White,Male,Yes,42,642953494,Active,,,,,,,,Dispatched,,Yes,,2021,1,1
,IV,Release to Medical,Monday,,,,Resisted HC,,,,,,,,1800-2359,Assault,ASSAULT - WITH WEAPON *H,,Yes,February,,,232271,East Precinct,2,Rope,975546237,420781,White,Male,No,55,975967018,Active,,,,,,,,Dispatched,,,,2020,1,1
,IV,Release to Medical,Monday,,,,Resisted HC,,,,,,,,1800-2359,Assault,ASSAULT - WITH WEAPON *H,,Yes,February,,,552501,East Precinct,10,Rope,975546237,420781,White,Male,No,55,975967018,Active,,,,,,,,Dispatched,,,,2020,1,1
,IV,Release to Medical,Monday,,,,Resisted HC,,,,,,,,1800-2359,Behavioral Health,ECIT,,Yes,April,,,902731,East Precinct,0.742030061,,912527017,3637897,Black,Male,No,18.298194444,9125270173637897,Active,,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,2018,1,1
,IV,Release to Medical,Monday,,,,Resisted HC,,,,,,,,-,Disturbance,DISTURBANCE - WITH WEAPON *H,,,December,,,698511,East Precinct,8.698630137,,591519923,530984,Hispanic,Male,No,31.854794521,530984591519923,Active,,,,,,,,Dispatched,,Yes,Weapon Present or reported but not used or threatened use,2017,1,1
,IV,Release to Medical,Monday,,,,Resisted HC,,,,,,,,-,Disturbance,DISTURBANCE - WITH WEAPON *H,,,December,,,648809,East Precinct,20.797260274,,591519923,530984,Hispanic,Male,No,31.854794521,530984591519923,Active,,,,,,,,Dispatched,,Yes,Weapon Present or reported but not used or threatened use,2017,1,1
,IV,Release to Medical,Monday,,,,Resisted HC,Control Against Resistance,,,,,,,0000-0559,Behavioral Health,ECIT,,Yes,July,,No weapon (unarmed),169261,Central Precinct,1,,154538059,460216,White,Female,Yes,49,154998275,Active,Active,,,,,,,Dispatched,,Yes,,2019,1,1
,IV,Release to Medical,Monday,,,,Resisted HC,Control Against Resistance,,,,,,,0000-0559,Behavioral Health,ECIT,,Yes,July,,No weapon (unarmed),933241,Central Precinct,1,,154538059,460216,White,Female,Yes,49,154998275,Active,Active,,,,,,,Dispatched,,Yes,,2019,1,1
,IV,Release to Medical,Monday,,,,Resisted HC,Control Against Resistance,,,,,,,0600-1159,Assist,MEDICAL ASSIST,Knife / Edged Weapon / Stabbing Instrument,,February,,,617800,Central Precinct,13.935429985,,1003526177,276706,Hispanic,Male,No,26.855977930,2767061003526177,Active,Active,,,,,,,Dispatched,,Yes,,2018,1,1
,IV,Release to Medical,Monday,,,,Resisted HC,Control Against Resistance,,,,,,,0600-1159,Assist,MEDICAL ASSIST,Knife / Edged Weapon / Stabbing Instrument,,February,,,776720,Central Precinct,14.894311263,,1003526177,276706,Hispanic,Male,No,26.855955099,2767061003526177,Active,Active,,,,,,,Dispatched,,,,2018,1,1
,IV,Release to Medical,Monday,,,,Resisted HC,Control Against Resistance,,,,,,,0600-1159,Assist,MEDICAL ASSIST,Knife / Edged Weapon / Stabbing Instrument,,February,,,783720,Central Precinct,14.894311263,,1003526177,276706,Hispanic,Male,No,26.855955099,2767061003526177,Active,Active,,,,,,,Dispatched,,,,2018,1,1
,IV,Release to Medical,Monday,,,,Resisted HC,Control Against Resistance,,,,,,,0600-1159,Assist,MEDICAL ASSIST,Knife / Edged Weapon / Stabbing Instrument,,February,,,453189,Central Precinct,18.749128615,,1003526177,276706,Hispanic,Male,No,26.855977930,2767061003526177,Active,Active,,,,,,,Dispatched,,Yes,,2018,1,1
,IV,Release to Medical,Monday,,,,Resisted HC,Control Against Resistance,,,,,,,0600-1159,Disturbance,DISTURBANCE - COLD,,Yes,June,,No weapon (unarmed),501691,Central Precinct,9,,36557358,3598118,White,Female,No,33,40155476,Active,Aggressive,,,,,,,Self-Initiated,,,,2021,1,1
,IV,Release to Medical,Monday,,,,Resisted HC,Control Against Resistance,,,,,,,0600-1159,Hazard,HAZARD - HAZARDOUS CONDITION,,,March,,No weapon (unarmed),1024448,East Precinct,9.063898402,,162526499,504510,White,Male,No,34.548829909,504510162526499,Active,Active,,,,,,,Dispatched,,,,2018,1,1
,IV,Release to Medical,Monday,,,,Resisted HC,Control Against Resistance,,,,,,,0600-1159,Hazard,HAZARD - HAZARDOUS CONDITION,,,March,,No weapon (unarmed),713409,East Precinct,16.294035388,,162526499,504510,White,Male,No,34.548829909,504510162526499,Active,Active,,,,,,,Dispatched,,Yes,,2018,1,1
,IV,Release to Medical,Monday,,,,Resisted HC,Control Against Resistance,,,,,,,0600-1159,Hazard,HAZARD - HAZARDOUS CONDITION,,,March,,No weapon (unarmed),990539,East Precinct,16.370749619,,162526499,504510,White,Male,No,34.548831811,504510162526499,Active,Active,,,,,,,Dispatched,,Yes,,2018,1,1
,IV,Release to Medical,Monday,,,,Resisted HC,Control Against Resistance,,,,,,,1200-1759,Behavioral Health,ECIT,,Yes,April,,No weapon (unarmed),927641,North Precinct,7.165804795,,246527100,1497413,Black,Male,No,16.930188356,2465271001497413,Active,Active,,,,,,,Dispatched,,,,2018,1,1
,IV,Release to Medical,Monday,,,,Resisted HC,Control Against Resistance,,,,,,,1200-1759,Behavioral Health,ECIT,,Yes,April,,No weapon (unarmed),990840,North Precinct,14.319229452,,246527100,1497413,Black,Male,No,16.930188356,2465271001497413,Active,Active,,,,,,,Dispatched,,,,2018,1,1
,IV,Release to Medical,Monday,,,,Resisted HC,Control Against Resistance,,,,,,,1800-2359,Unwanted Person,UNWANTED PERSON,,Yes,September,,No weapon (unarmed),224472,East Precinct,2,,1009558307,126453,White,Female,Yes,,1009684760,Active,Active,,,,,,,Dispatched,,Yes,,2021,1,1
,IV,Release to Medical,Monday,,,,Resisted HC,Control Against Resistance,,,,,,,1800-2359,Unwanted Person,UNWANTED PERSON,,Yes,September,,No weapon (unarmed),836731,East Precinct,5,,1009558307,126453,White,Female,Yes,,1009684760,Active,Active,,,,,,,Dispatched,,Yes,,2021,1,1
,IV,Release to Medical,Monday,,,,Resisted HC,Control Against Resistance,,,,,,,1800-2359,Welfare Check,WELFARE CHECK - COLD,,,June,,No weapon (unarmed),233271,Central Precinct,3,,842557436,477317,White,Female,No,44,843034753,Active,Active,,,,,,,Self-Initiated,,Yes,,2021,1,1
,IV,Release to Medical,Monday,,,,Resisted HC,Control Against Resistance,,,,,,,1800-2359,Welfare Check,WELFARE CHECK - COLD,,,June,,No weapon (unarmed),293271,Central Precinct,3,,842557436,477317,White,Female,No,44,843034753,Active,Active,,,,,,,Self-Initiated,,Yes,,2021,1,1
,IV,Release to Medical,Monday,,,,Resisted HC,Control Against Resistance,,,,,,,1800-2359,Welfare Check,WELFARE CHECK - PRIORITY,Knife / Edged Weapon / Stabbing Instrument,,February,,,716808,East Precinct,26.441067352,,409526101,3694047,White,Male,No,24.531478311,3694047409526101,Active,Active,,,,,,,Dispatched,,,,2018,1,1
,IV,Release to Medical,Monday,,,,Resisted HC,Control Against Resistance,Control Against Resistance,,,,,,0600-1159,Welfare Check,WELFARE CHECK - COLD,,Yes,February,,No weapon (unarmed),884731,Central Precinct,7,,607546063,3955443,White,Female,No,30,611501506,Active,Active,Active,,,,,,Dispatched,,Yes,,2020,1,1
,IV,Release to Medical,Monday,,,,Resisted HC,Control Against Resistance,Hobble,,,,,,1200-1759,Behavioral Health,ECIT,,Yes,April,Needle / Spit / Bodily Fluids,,1047348,Central Precinct,27,,165556729,502217,Hispanic,Female,No,24,166058946,Aggressive,Aggressive,Aggressive,,,,,,Dispatched,,Yes,,2021,1,1
,IV,Release to Medical,Monday,,,,Resisted HC,Hobble,,,,,,,-,Welfare Check,WELFARE CHECK - PRIORITY,,Yes,October,,No weapon (unarmed),973138,East Precinct,25.654623288,,325519271,1268891,White,Male,No,34.610787671,1268891325519271,Active,Aggressive,,,,,,,Dispatched,Yes,Yes,,2017,1,1
,IV,Release to Medical,Monday,,,,Resisted HC,Resisted HC,,,,,,,1200-1759,Unwanted Person,UNWANTED PERSON,,Yes,October,,No weapon (unarmed),650511,Central Precinct,11,,274548910,4166727,White,Female,Yes,39,278715637,Active,Active,,,,,,,Dispatched,,,,2020,1,1
,IV,Release to Medical,Monday,,,,Resisted HC,Takedown (IV),,,,,,,0000-0559,Disturbance,DISTURBANCE - PRIORITY,,Yes,August,,No weapon (unarmed),557502,Central Precinct,1,,766557945,1933025,Black,Male,No,19,768490970,Active,Active,,,,,,,Dispatched,Yes,Yes,,2021,1,1
,IV,Release to Medical,Monday,,,,Resisted HC,Takedown (IV),,,,,,,0000-0559,Disturbance,DISTURBANCE - PRIORITY,,Yes,August,,No weapon (unarmed),241472,North Precinct,1,,766557945,1933025,Black,Male,No,19,768490970,Active,Active,,,,,,,Dispatched,Yes,Yes,,2021,1,1
,IV,Release to Medical,Monday,,,,Resisted HC,Takedown (IV),Control Against Resistance,,,,,,1800-2359,Disturbance,DISTURBANCE - PRIORITY,,,March,,No weapon (unarmed),702211,East Precinct,1,,455536642,3822192,White,Male,No,17,459358834,Active,Active,Active,,,,,,Dispatched,,Yes,,2019,1,1
,IV,Release to Medical,Monday,,,,Resisted HC,Takedown (IV),Control Against Resistance,,,,,,1800-2359,Disturbance,DISTURBANCE - PRIORITY,,,March,,No weapon (unarmed),1056249,East Precinct,11,,455536642,3822192,White,Male,No,17,459358834,Active,Active,Active,,,,,,Dispatched,,Yes,,2019,1,1
,IV,Release to Medical,Monday,,,,Resisted HC,Takedown (IV),Resisted HC,,,,,,0600-1159,Behavioral Health,ECIT,,Yes,September,,No weapon (unarmed),795518,Central Precinct,29.718753805,,871528856,566651,Hispanic,Male,Yes,27.622863394,871528856566651,Active,Active,Active,,,,,,Dispatched,,,,2018,1,1
,IV,Release to Medical,Monday,,,,Resisted HC,Takedown (IV),Resisted HC,,,,,,0600-1159,Behavioral Health,ECIT,,Yes,September,,No weapon (unarmed),1115749,Family Services,12.573554033,,871528856,566651,Hispanic,Male,Yes,27.622869102,871528856566651,Active,Active,Active,,,,,,Dispatched,,,,2018,1,1
,IV,Release to Medical,Monday,,,,Takedown (IV),,,,,,,,0000-0559,Unwanted Person,UNWANTED PERSON,,Yes,February,,No weapon (unarmed),815221,Central Precinct,2,,724546145,4111183,White,Male,No,49,728657328,Active,,,,,,,,Dispatched,Yes,,,2020,1,1
,IV,Release to Medical,Monday,,,,Takedown (IV),,,,,,,,1200-1759,Behavioral Health,ECIT,,Yes,January,,No weapon (unarmed),915329,Central Precinct,10.484016362,,418525762,1994560,White,Female,Yes,28.144290335,1994560418525762,Active,,,,,,,,Dispatched,,,,2018,1,1
,IV,Release to Medical,Monday,,,,Takedown (IV),,,,,,,,1200-1759,Unwanted Person,UNWANTED PERSON,,,June,,No weapon (unarmed),259169,North Precinct,18,,307557220,4204844,White,Male,Yes,30,311762064,Active,,,,,,,,Dispatched,,Yes,,2021,1,1
,IV,Release to Medical,Monday,,,,Takedown (IV),Resisted HC,,,,,,,0600-1159,Behavioral Health,ECIT,,Yes,September,,No weapon (unarmed),542698,Central Precinct,13.305055175,,871528856,566651,Hispanic,Male,Yes,27.622863394,871528856566651,Active,Active,,,,,,,Dispatched,,,,2018,1,1
,IV,Release to Medical,Monday,,Firearm - Implied,,Control Against Resistance,,,,,,,,1200-1759,Disturbance,DISTURBANCE - PRIORITY,,Yes,March,,,432690,East Precinct,15.719777397,,756526505,573424,Hispanic,Male,Yes,45.133476027,573424756526505,Passive,,,,,,,,Dispatched,,Yes,,2018,1,1
,IV,Arrest-Felony,MON,,,,PFA,,,,,,,,-,Disturbance,DISTURBANCE - PRIORITY,,,September,,No weapon (unarmed),749120,East Precinct,11.478365677,,135518589,594397,White,Male,Yes,24.933160198,594397135518589,Active,,,,,,,,Dispatched,,,,2017,1,1
,IV,Arrest-Felony,MON,,,,Resisted HC,,,,,,,,-,Welfare Check,WELFARE CHECK - PRIORITY,,,September,,No weapon (unarmed),686210,East Precinct,3.561603881,,619518594,481365,White,Male,Yes,29.136946347,481365619518594,Active,,,,,,,,Dispatched,,Yes,,2017,1,1
,IV,Arrest-Felony,MON,,,,Resisted HC,,,,,,,,-,Welfare Check,WELFARE CHECK - PRIORITY,,,September,,No weapon (unarmed),552501,East Precinct,8.509549087,,619518594,481365,White,Male,Yes,29.136946347,481365619518594,Active,,,,,,,,Dispatched,,Yes,,2017,1,1
,IV,Arrest-Misdemeanor,MON,,,,Resisted HC,,,,,,,,-,Disturbance,DISTURBANCE - PRIORITY,,,September,,No weapon (unarmed),749120,East Precinct,11.478040335,,961518587,1171377,White,Female,No,17.732834855,1171377961518587,Active,,,,,,,,Dispatched,,,,2017,1,1
,IV,Arrest-Misdemeanor,MON,,,,Resisted HC,,,,,,,,-,Disturbance,DISTURBANCE - PRIORITY,,,September,,No weapon (unarmed),789020,East Precinct,12.286259513,,961518587,1171377,White,Female,No,17.732834855,1171377961518587,Active,,,,,,,,Dispatched,,,,2017,1,1
,IV,Arrest-Misdemeanor,MON,,,,Resisted HC,,,,,,,,-,Disturbance,DISTURBANCE - PRIORITY,,,September,,No weapon (unarmed),973138,East Precinct,25.499942922,,961518587,1171377,White,Female,No,17.732819635,1171377961518587,Active,,,,,,,,Dispatched,,,,2017,1,1
,IV,Arrest-Misdemeanor,MON,,,,Resisted HC,,,,,,,,-,Vandalism,VANDALISM - PRIORITY,Knife / Edged Weapon / Stabbing Instrument,Unclear,September,,,926741,East Precinct,3.578668189,,368518671,604455,White,Male,Yes,25.488257230,604455368518671,Active,,,,,,,,Dispatched,,,,2017,1,1
,IV,Arrest-Misdemeanor,MON,,,,Resisted HC,,,,,,,,-,Vandalism,VANDALISM - PRIORITY,Knife / Edged Weapon / Stabbing Instrument,Unclear,September,,,607097,East Precinct,23.400553653,,368518671,604455,White,Male,Yes,25.488224886,604455368518671,Active,,,,,,,,Dispatched,,,,2017,1,1
,IV,Arrest-Misdemeanor,MON,,,,Resisted HC,Control Against Resistance,,,,,,,-,Robbery,ROBBERY - WITH WEAPON *H,Knife / Edged Weapon / Stabbing Instrument,,September,,,269669,East Precinct,22.048877473,,248518850,262780,Asian,Male,No,43.128329528,262780248518850,Active,Active,,,,,,,Dispatched,Yes,,,2017,1,1
,IV,Cite and Release,MON,,,,PFA,,,,,,,,-,Suspicious,"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE",,No,September,,No weapon (unarmed),1056551,Central Precinct,2.295842846,,457518682,213654,White,Male,No,51.945157915,213654457518682,Active,,,,,,,,Self-Initiated,,,,2017,1,1
,IV,Detained and Released,MON,,,,Box-in VIS,,,,,,,,-,Traffic Stop,TRAFFIC STOP,,,September,,No weapon (unarmed),515991,East Precinct,2.101714231,,674518584,435089,White,Female,No,35.671577245,435089674518584,Passive,,,,,,,,Self-Initiated,Yes,Yes,,2017,1,1
,IV,Detained and Released,MON,,,,Box-in VIS,,,,,,,,-,Traffic Stop,TRAFFIC STOP,,,September,,No weapon (unarmed),716808,East Precinct,26.016778919,,674518584,435089,White,Female,No,35.671573440,435089674518584,Passive,,,,,,,,Self-Initiated,Yes,Yes,,2017,1,1
,IV,Release to Medical,MON,,,,Resisted HC,,,,,,,,-,Behavioral Health,SUICIDE ATTEMPT OR THREAT,,Yes,August,,No weapon (unarmed),909731,North Precinct,4.903675799,,482518412,3486772,White,Female,No,25.355730594,3486772482518412,Active,,,,,,,,Dispatched,,,,2017,1,1
,IV,Release to Medical,MON,,,,Resisted HC,,,,,,,,-,Behavioral Health,SUICIDE ATTEMPT OR THREAT,,Yes,August,,No weapon (unarmed),944541,North Precinct,7.955730594,,482518412,3486772,White,Female,No,25.355730594,3486772482518412,Active,,,,,,,,Dispatched,,,,2017,1,1
,IV,Release to Medical,MON,,,,Resisted HC,,,,,,,,-,Unwanted Person,UNWANTED PERSON,,,September,,No weapon (unarmed),560900,Central Precinct,13.206742770,,200518759,3498418,Asian,Male,Yes,52.393044140,3498418200518759,Active,,,,,,,,Dispatched,,Yes,,2017,1,1
,IV,Release to Medical,MON,,,,Resisted HC,,,,,,,,-,Unwanted Person,UNWANTED PERSON,,,September,,No weapon (unarmed),650810,Central Precinct,13.993051750,,200518759,3498418,Asian,Male,Yes,52.393051750,3498418200518759,Active,,,,,,,,Dispatched,,Yes,,2017,1,1
,IV,Release to Medical,MON,,,,Resisted HC,,,,,,,,-,Unwanted Person,UNWANTED PERSON,,,September,,No weapon (unarmed),348177,Central Precinct,27.532772070,,200518759,3498418,Asian,Male,Yes,52.393046043,3498418200518759,Active,,,,,,,,Dispatched,,Yes,,2017,1,1
,IV,Release to Medical,MON,,,,Resisted HC,,,,,,,,-,Unwanted Person,UNWANTED PERSON,,Yes,September,,No weapon (unarmed),836731,East Precinct,1.643468417,,838518766,1745306,White,Female,Yes,36.966756088,1745306838518766,Active,,,,,,,,Dispatched,,,,2017,1,1
,IV,Release to Medical,MON,,,,Resisted HC,,,,,,,,-,Unwanted Person,UNWANTED PERSON,,Yes,September,,No weapon (unarmed),776021,East Precinct,1.950317732,,838518766,1745306,White,Female,Yes,36.966756088,1745306838518766,Active,,,,,,,,Dispatched,,,,2017,1,1
,IV,Release to Medical,MON,,,,Resisted HC,Control Against Resistance,,,,,,,-,Behavioral Health,ECIT,,Yes,September,,No weapon (unarmed),551100,East Precinct,11.654615677,,919518767,619880,White,Male,No,21.451875951,619880919518767,Active,Active,,,,,,,Dispatched,,,,2017,1,1
,IV,Release to Medical,MON,,,,Resisted HC,Control Against Resistance,,,,,,,-,Behavioral Health,ECIT,,Yes,September,,No weapon (unarmed),269669,East Precinct,22.029958143,,919518767,619880,White,Male,No,21.451875951,619880919518767,Active,Active,,,,,,,Dispatched,Yes,,,2017,1,1
,IV,Release to Medical,MON,,,,Resisted HC,Control Against Resistance,,,,,,,-,Behavioral Health,ECIT,,Yes,September,,No weapon (unarmed),642708,East Precinct,25.539547184,,919518767,619880,White,Male,No,21.451875951,619880919518767,Active,Active,,,,,,,Dispatched,Yes,,,2017,1,1
,IV,Release to Medical,MON,,,,Resisted HC,Control Against Resistance,,,,,,,-,Behavioral Health,SUICIDE ATTEMPT OR THREAT,,Yes,September,,No weapon (unarmed),577901,Central Precinct,2.524843988,,71518588,580517,White,Male,Yes,28.037172755,58051771518588,Active,Active,,,,,,,Dispatched,,,,2017,1,1
,IV,Release to Medical,MON,,,,Resisted HC,Control Against Resistance,,,,,,,-,Behavioral Health,SUICIDE ATTEMPT OR THREAT,,Yes,September,,No weapon (unarmed),884731,Central Precinct,5.017994673,,71518588,580517,White,Male,Yes,28.037172755,58051771518588,Active,Active,,,,,,,Dispatched,,,,2017,1,1
,IV,Release to Medical,MON,,,,Resisted HC,Control Against Resistance,,,,,,,-,Behavioral Health,SUICIDE ATTEMPT OR THREAT,,Yes,September,,No weapon (unarmed),920631,Central Precinct,6.513885084,,71518588,580517,White,Male,Yes,28.037172755,58051771518588,Active,Active,,,,,,,Dispatched,Yes,,,2017,1,1
,IV,,Tuesday,,,,FD - animal suf.,,,,,,,,0000-0559,Hazard,HAZARD - HAZARDOUS CONDITION,,,October,,No weapon (unarmed),349281,,2,,899548916,127343,,,,,899676259,Null,,,,,,,,Dispatched,,,,2020,1,1
,IV,,Tuesday,,,,FD - animal suf.,FD - animal suf.,FD - animal suf.,,,,,,0600-1159,Animal Problem,ANIMAL PROBLEM - PRIORITY,,,June,,No weapon (unarmed),387978,North Precinct,25,,416537612,125390,,,,,416663002,Passive,Passive,Passive,,,,,,Dispatched,,,,2019,1,1
,IV,Arrest-Cited,Tuesday,,,,Box-in VIS,,,,,,,,0600-1159,Welfare Check,WELFARE CHECK - COLD,,,February,,No weapon (unarmed),562900,Central Precinct,16,,47556168,490638,White,Male,Yes,36,48046806,Passive,,,,,,,,Dispatched,,Yes,,2021,1,1
,IV,Arrest-Cited,Tuesday,,,,Box-in VIS,,,,,,,,0600-1159,Welfare Check,WELFARE CHECK - COLD,,,February,,No weapon (unarmed),777419,Central Precinct,19,,47556168,490638,White,Male,Yes,36,48046806,Passive,,,,,,,,Dispatched,,Yes,,2021,1,1
,IV,Arrest-Cited,Tuesday,,,,Control Against Resistance,,,,,,,,1200-1759,Other,FLAGDOWN,,,April,,No weapon (unarmed),809721,Central Precinct,5.776841705,,223526940,341628,White,Male,Yes,42.091910198,223526940341628,Active,,,,,,,,Self-Initiated,,,,2018,1,1
,IV,Arrest-Cited,Tuesday,,,,Control Against Resistance,,,,,,,,1800-2359,Suspicious,"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE",,,March,,No weapon (unarmed),910631,North Precinct,10,,105556528,627843,White,Male,Yes,23,106184371,Active,,,,,,,,Dispatched,,Yes,,2021,1,1
,IV,Arrest-Cited,Tuesday,,,,Resisted HC,,,,,,,,0000-0559,Traffic Stop,TRAFFIC STOP,,,February,,No weapon (unarmed),1031451,Central Precinct,1,,652555974,3873988,Black,Male,No,35,656429962,Active,,,,,,,,Self-Initiated,,Yes,,2021,1,1
,IV,Arrest-Cited,Tuesday,,,,Resisted HC,,,,,,,,1200-1759,Other,FLAGDOWN,,,April,,No weapon (unarmed),855830,Central Precinct,8.664503425,,223526940,341628,White,Male,Yes,42.091900685,223526940341628,Active,,,,,,,,Self-Initiated,,,,2018,1,1
,IV,Arrest-Cited,Tuesday,,,,Resisted HC,,,,,,,,1200-1759,Other,FLAGDOWN,,,April,,No weapon (unarmed),340880,Central Precinct,12.289160959,,223526940,341628,White,Male,Yes,42.091900685,223526940341628,Active,,,,,,,,Self-Initiated,,,,2018,1,1
,IV,Arrest-Cited,Tuesday,,,,Resisted HC,,,,,,,,1800-2359,Welfare Check,WELFARE CHECK - PRIORITY,,,June,,,269669,East Precinct,24,,596547493,1643331,White,Male,No,19,598190824,Active,,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,2020,1,1
,IV,Arrest-Cited,Tuesday,,,,Resisted HC,,,,,,,,1800-2359,Welfare Check,WELFARE CHECK - PRIORITY,,,June,,,973138,East Precinct,28,,596547493,1643331,White,Male,No,19,598190824,Active,,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,2020,1,1
,IV,Arrest-Cited,Tuesday,,,,Resisted HC,Resisted HC,,,,,,,0000-0559,Traffic Stop,TRAFFIC STOP,,,February,,No weapon (unarmed),751421,Central Precinct,1,,652555974,3873988,Black,Male,No,35,656429962,Active,Active,,,,,,,Self-Initiated,,Yes,,2021,1,1
,IV,Arrest-Cited,Tuesday,,,,Takedown,,,,,,,,-,Assist,ASSISTANCE - AGENCY COVER CODE 1,,,October,,No weapon (unarmed),948240,North Precinct,10.734408295,,476519102,1968726,Black,Male,No,17.189202816,1968726476519102,Active,,,,,,,,Dispatched,,,,2017,1,1
,IV,Arrest-Cited,Tuesday,,,,Takedown (IV),Resisted HC,,,,,,,1800-2359,Suspicious,"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE",,,March,,No weapon (unarmed),366179,North Precinct,22,,105556528,627843,White,Male,Yes,23,106184371,Active,Active,,,,,,,Dispatched,,Yes,,2021,1,1
,IV,Arrest-Cited,Tuesday,,,,Takedown (IV),Resisted HC,,,,,,,1800-2359,Suspicious,"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE",,,March,,No weapon (unarmed),650809,North Precinct,24,,105556528,627843,White,Male,Yes,23,106184371,Active,Active,,,,,,,Dispatched,,Yes,,2021,1,1
,IV,Arrest-Felony,Tuesday,,,,Box-in VIS,,,,,,,,0000-0559,Stolen Vehicle,VEHICLE STOLEN - COLD,,,May,,No weapon (unarmed),132261,Central Precinct,4,,864556696,522351,White,Female,Yes,48,865079047,Passive,,,,,,,,Dispatched,,,,2021,1,1
,IV,Arrest-Felony,Tuesday,,,,Box-in VIS,,,,,,,,0600-1159,Robbery,ROBBERY - WITH WEAPON *H,,,August,,,396079,East Precinct,22,,184558099,1447611,Black,Male,No,21,186005710,Active,,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,2021,1,1
,IV,Arrest-Felony,Tuesday,,,,Box-in VIS,,,,,,,,0600-1159,Stolen Vehicle,VEHICLE STOLEN - COLD,,,April,,No weapon (unarmed),318368,Transit (PPB Only),26,,359546971,4127019,White,Male,Yes,30,363673990,Passive,,,,,,,,Dispatched,,Yes,,2020,1,1
,IV,Arrest-Felony,Tuesday,,,,Box-in VIS,,,,,,,,1200-1759,Stolen Vehicle,ROLLING STOLEN *H,,,September,,No weapon (unarmed),903731,East Precinct,6,,937538897,128603,White,Male,Yes,26,937667500,Active,,,,,,,,Self-Initiated,,,,2019,1,1
,IV,Arrest-Felony,Tuesday,,,,Box-in VIS,,,,,,,,1200-1759,Stolen Vehicle,ROLLING STOLEN *H,,No,January,,,427089,TOD,12.462326865,,620525774,443823,White,Male,No,32.421230974,443823620525774,Active,,,,,,,,Self-Initiated,No,No,Weapon Present or reported but not used or threatened use,2018,1,1
,IV,Arrest-Felony,Tuesday,,,,Box-in VIS,,,,,,,,1200-1759,Stolen Vehicle,VEHICLE STOLEN - COLD,,,July,,No weapon (unarmed),243370,East Precinct,11,,729538265,606641,White,Male,Yes,22,730144906,Passive,,,,,,,,Self-Initiated,,,,2019,1,1
,IV,Arrest-Felony,Tuesday,,,,Box-in VIS,,,,,,,,1200-1759,Stolen Vehicle,VEHICLE STOLEN - COLD,,,July,,No weapon (unarmed),396079,East Precinct,20,,729538265,606641,White,Male,Yes,22,730144906,Passive,,,,,,,,Self-Initiated,,,,2019,1,1
,IV,Arrest-Felony,Tuesday,,,,Box-in VIS,,,,,,,,1800-2359,Stolen Vehicle,ROLLING STOLEN *H,,No,January,,,334481,East Precinct,9.114383562,,620525774,443823,White,Male,No,32.421232877,443823620525774,Active,,,,,,,,Self-Initiated,,,Weapon Present or reported but not used or threatened use,2018,1,1
,IV,Arrest-Felony,Tuesday,,,,Box-in VIS,,,,,,,,1800-2359,Stolen Vehicle,VEHICLE STOLEN - COLD,,,January,,No weapon (unarmed),193659,Central Precinct,22,,572535843,3554301,Black,Male,No,48,576090144,Passive,,,,,,,,Self-Initiated,Yes,,,2019,1,1
,IV,Arrest-Felony,Tuesday,,,,Box-in VIS,,,,,,,,1800-2359,Traffic Stop,TRAFFIC STOP,,,August,,No weapon (unarmed),269171,Central Precinct,1.473740487,,153528439,3958743,Hispanic,Female,No,17.597028158,1535284393958743,Active,,,,,,,,Self-Initiated,,,,2018,1,1
